boro_cd,oesi_4_equal_rank,rdi_311_rank,sdbi_5_equal_rank
101,24,31,27
102,6,10,4
103,10,14,10
104,3,6,3
105,1,4,1
106,4,30,7
107,29,17,26
108,27,36,31
109,20,8,18
110,35,2,28
111,17,21,17
112,30,5,24
201,8,18,9
202,13,29,15
203,16,3,13
204,7,12,5
205,21,7,19
206,12,13,11
207,32,15,29
208,55,26,47
209,19,32,23
210,40,49,45
211,34,43,35
212,23,1,8
301,5,24,6
302,14,9,12
303,39,27,36
304,33,16,30
305,42,39,43
306,22,23,22
307,26,44,33
308,28,11,25
309,50,25,46
310,37,47,40
311,45,53,50
312,44,54,51
313,49,48,52
314,41,37,42
315,52,51,53
316,11,34,16
317,53,38,49
318,56,55,56
401,18,22,20
402,2,28,2
403,15,35,21
404,9,42,14
405,31,46,34
406,25,40,32
407,38,33,37
408,46,19,39
409,36,45,38
410,47,20,41
411,54,56,55
412,43,41,44
413,51,57,54
414,59,52,58
501,48,50,48
502,57,58,57
503,58,59,59
