boro_cd,2021,2022,2023,cd_label,transition_2021_2022,transition_2022_2023,n_unique_clusters,is_stable
101,0,0,2,Manhattan Community District 1,0 -> 0,0 -> 2,2,False
102,8,5,2,Manhattan Community District 2,8 -> 5,5 -> 2,3,False
103,8,1,1,Manhattan Community District 3,8 -> 1,1 -> 1,2,False
104,6,5,2,Manhattan Community District 4,6 -> 5,5 -> 2,3,False
105,0,5,2,Manhattan Community District 5,0 -> 5,5 -> 2,3,False
106,0,5,2,Manhattan Community District 6,0 -> 5,5 -> 2,3,False
107,6,5,5,Manhattan Community District 7,6 -> 5,5 -> 5,2,False
108,0,0,2,Manhattan Community District 8,0 -> 0,0 -> 2,2,False
109,7,6,3,Manhattan Community District 9,7 -> 6,6 -> 3,3,False
110,7,3,3,Manhattan Community District 10,7 -> 3,3 -> 3,2,False
111,1,6,0,Manhattan Community District 11,1 -> 6,6 -> 0,3,False
112,2,2,3,Manhattan Community District 12,2 -> 2,2 -> 3,2,False
201,1,3,3,Bronx Community District 1,1 -> 3,3 -> 3,2,False
202,1,6,8,Bronx Community District 2,1 -> 6,6 -> 8,3,False
203,7,6,3,Bronx Community District 3,7 -> 6,6 -> 3,3,False
204,2,2,3,Bronx Community District 4,2 -> 2,2 -> 3,2,False
205,2,2,3,Bronx Community District 5,2 -> 2,2 -> 3,2,False
206,1,6,3,Bronx Community District 6,1 -> 6,6 -> 3,3,False
207,7,6,0,Bronx Community District 7,7 -> 6,6 -> 0,3,False
208,1,6,0,Bronx Community District 8,1 -> 6,6 -> 0,3,False
209,1,6,8,Bronx Community District 9,1 -> 6,6 -> 8,3,False
210,1,6,8,Bronx Community District 10,1 -> 6,6 -> 8,3,False
211,1,3,0,Bronx Community District 11,1 -> 3,3 -> 0,3,False
212,4,4,8,Bronx Community District 12,4 -> 4,4 -> 8,2,False
301,8,1,1,Brooklyn Community District 1,8 -> 1,1 -> 1,2,False
302,0,0,2,Brooklyn Community District 2,0 -> 0,0 -> 2,2,False
303,1,1,0,Brooklyn Community District 3,1 -> 1,1 -> 0,2,False
304,1,1,1,Brooklyn Community District 4,1 -> 1,1 -> 1,1,True
305,1,6,8,Brooklyn Community District 5,1 -> 6,6 -> 8,3,False
306,0,0,5,Brooklyn Community District 6,0 -> 0,0 -> 5,2,False
307,8,8,7,Brooklyn Community District 7,8 -> 8,8 -> 7,2,False
308,5,5,5,Brooklyn Community District 8,5 -> 5,5 -> 5,1,True
309,5,3,0,Brooklyn Community District 9,5 -> 3,3 -> 0,3,False
310,5,1,4,Brooklyn Community District 10,5 -> 1,1 -> 4,3,False
311,5,3,0,Brooklyn Community District 11,5 -> 3,3 -> 0,3,False
312,5,3,4,Brooklyn Community District 12,5 -> 3,3 -> 4,3,False
313,1,3,0,Brooklyn Community District 13,1 -> 3,3 -> 0,3,False
314,5,3,0,Brooklyn Community District 14,5 -> 3,3 -> 0,3,False
315,5,3,4,Brooklyn Community District 15,5 -> 3,3 -> 4,3,False
316,1,6,0,Brooklyn Community District 16,1 -> 6,6 -> 0,3,False
317,1,3,0,Brooklyn Community District 17,1 -> 3,3 -> 0,3,False
318,1,1,8,Brooklyn Community District 18,1 -> 1,1 -> 8,2,False
401,8,1,1,Queens Community District 1,8 -> 1,1 -> 1,2,False
402,8,1,0,Queens Community District 2,8 -> 1,1 -> 0,3,False
403,8,6,8,Queens Community District 3,8 -> 6,6 -> 8,2,False
404,8,6,1,Queens Community District 4,8 -> 6,6 -> 1,3,False
405,8,1,1,Queens Community District 5,8 -> 1,1 -> 1,2,False
406,5,3,0,Queens Community District 6,5 -> 3,3 -> 0,3,False
407,6,5,4,Queens Community District 7,6 -> 5,5 -> 4,3,False
408,3,7,6,Queens Community District 8,3 -> 7,7 -> 6,3,False
409,1,6,8,Queens Community District 9,1 -> 6,6 -> 8,3,False
410,1,5,5,Queens Community District 10,1 -> 5,5 -> 5,2,False
411,0,1,4,Queens Community District 11,0 -> 1,1 -> 4,3,False
412,1,6,8,Queens Community District 12,1 -> 6,6 -> 8,3,False
413,1,1,8,Queens Community District 13,1 -> 1,1 -> 8,2,False
414,5,3,0,Queens Community District 14,5 -> 3,3 -> 0,3,False
501,5,3,0,Staten Island Community District 1,5 -> 3,3 -> 0,3,False
502,5,3,4,Staten Island Community District 2,5 -> 3,3 -> 4,3,False
503,0,0,4,Staten Island Community District 3,0 -> 0,0 -> 4,2,False
