cluster_id,n_ntas,cluster_label,rate_per_1k_pop_mean,rate_per_1k_pop_median,rate_per_km2_mean,rate_per_km2_median,share_noise___residential_mean,share_noise___residential_median,share_noise___street/sidewalk_mean,share_noise___street/sidewalk_median,share_noise___commercial_mean,share_noise___commercial_median,share_noise___vehicle_mean,share_noise___vehicle_median,share_noise___park_mean,share_noise___park_median,share_noise_mean,share_noise_median,share_noise___helicopter_mean,share_noise___helicopter_median,share_noise___house_of_worship_mean,share_noise___house_of_worship_median,share_evening_mean,share_evening_median,share_early_am_mean,share_early_am_median,share_core_night_mean,share_core_night_median,share_predawn_mean,share_predawn_median,late_night_share_mean,late_night_share_median,weekend_uplift_mean,weekend_uplift_median,warm_season_ratio_mean,warm_season_ratio_median
-1,2,Low Volume,6.968507832961119,6.968507832961119,45.521012775997036,45.521012775997036,0.3898089576909628,0.3898089576909628,0.05610477128961505,0.05610477128961505,0.03374233128834356,0.03374233128834356,0.08937029149051146,0.08937029149051146,0.024539877300613498,0.024539877300613498,0.39300359197685875,0.39300359197685875,0.007772020725388601,0.007772020725388601,0.005658158237706221,0.005658158237706221,0.2833847229727582,0.2833847229727582,0.11173273149178295,0.11173273149178295,0.1659302584316094,0.1659302584316094,0.4389522871038495,0.4389522871038495,0.22626275469658919,0.22626275469658919,1.4035087719298245,1.4035087719298245,1.3205533596837946,1.3205533596837946
0,55,Cluster_0,33.567425790724165,30.879947661105657,606.9457622852744,446.93552314482474,0.6144946149964522,0.6112311015118791,0.15304614624818694,0.1380388653115926,0.057482978834893284,0.04794520547945205,0.0824148205531938,0.07780979827089338,0.0035376315574525115,0.002070393374741201,0.08602159265995697,0.07725321888412018,0.0014703793131502132,0.000984898227183191,0.0015318358367140033,0.0005701254275940707,0.4492185199588198,0.44301628106255353,0.18691444057439147,0.18478260869565216,0.1256578530442913,0.12859884836852206,0.23820918642249736,0.23705179282868527,0.19786523980431828,0.19434447300771207,2.178669035406037,2.1013189448441247,1.4625473795453083,1.3710407239819005
1,27,Cluster_1,36.32296553499125,33.83347285723485,727.8014043606179,721.4430411897271,0.3016564770376932,0.2712842712842713,0.1303735467120021,0.1301518438177874,0.06914723526317738,0.07460982108869432,0.10380834255893542,0.09022556390977443,0.005695383079011972,0.004985459077690071,0.3538795446773012,0.34442270058708413,0.03367002686753199,0.011419249592169658,0.0017694438043467887,0.0,0.23665346276463844,0.2413793103448276,0.13617227821324476,0.1397498640565525,0.2076525236777469,0.19727891156462585,0.4195217353443699,0.4246031746031746,0.27236701115893314,0.26120857699805067,1.4330914345129568,1.4080459770114944,0.9264661936079774,0.8571428571428571
2,1,Cluster_2,779.9929756420056,779.9929756420056,10250.020402911963,10250.020402911963,0.9761349790750649,0.9761349790750649,0.007231021878476453,0.007231021878476453,0.009270540869841606,0.009270540869841606,0.0031254966361180274,0.0031254966361180274,7.946177888435662e-05,7.946177888435662e-05,0.0041055252423584255,0.0041055252423584255,2.6487259628118875e-05,2.6487259628118875e-05,2.6487259628118875e-05,2.6487259628118875e-05,0.24749695396514276,0.24749695396514276,0.21563278063251576,0.21563278063251576,0.20456110610796208,0.20456110610796208,0.33230915929437943,0.33230915929437943,0.3083117020713037,0.3083117020713037,1.1395712027146878,1.1395712027146878,2.950509614374278,2.950509614374278
3,1,Cluster_3,180.8880152938959,180.8880152938959,1955.7377251616467,1955.7377251616467,0.12950282822268533,0.12950282822268533,0.0055075915451027095,0.0055075915451027095,0.0007442691277165823,0.0007442691277165823,0.6135754688895505,0.6135754688895505,0.0,0.0,0.14245311104495387,0.14245311104495387,0.015927359333134862,0.015927359333134862,0.0922893718368562,0.0922893718368562,0.055224769276570405,0.055224769276570405,0.06356058350699613,0.06356058350699613,0.17281929145579042,0.17281929145579042,0.708395355760643,0.708395355760643,0.20735337898183984,0.20735337898183984,0.8833601933924256,0.8833601933924256,0.6952695269526953,0.6952695269526953
4,25,Cluster_4,49.74610179603139,54.70292795944706,1079.1022938273418,1009.3489434450964,0.3952244932265595,0.4153713298791019,0.18255579551402448,0.17654359292584548,0.1481409605526658,0.13807012100527458,0.0999407115400004,0.088098016336056,0.007788151300631205,0.005317128750474744,0.15781837990610462,0.14705882352941177,0.007316057745758255,0.004326328800988875,0.0012154502142557588,0.000819000819000819,0.39492890690947957,0.3942307692307692,0.18049456651392792,0.175,0.14243292916578912,0.13938473224458792,0.28214359741080336,0.28005385651086745,0.2137522081548851,0.21311790728986343,1.8904173208229427,1.8726450640542578,1.0322205193707028,0.9873801110550228
5,53,Cluster_5,27.558193199480286,20.778088561153695,508.3769732961233,284.32332233977405,0.5996089059678819,0.5949839914621131,0.10466212309506816,0.09055118110236221,0.045885321620749445,0.0350253807106599,0.07269391437698836,0.0616822429906542,0.005453403602267471,0.0035405192761605035,0.1653965954022163,0.17014270032930845,0.0051896372686943025,0.0014898688915375446,0.0011100986661341631,0.0005094243504839531,0.28872546724730946,0.29809358752166376,0.16026751855858568,0.15797101449275364,0.17953496178426323,0.17437722419928825,0.37147205240984177,0.373015873015873,0.2562170401895682,0.2466765140324963,1.4449845000587176,1.4583333333333335,0.9478117476238574,0.9517061885482938
6,17,Cluster_6,82.41101532686038,83.3528102050607,2602.7900381660393,2505.347908954462,0.4488562673317817,0.4286701208981002,0.3483147490493936,0.35065835065835066,0.03885432043315577,0.029571514785757393,0.11495134991634932,0.11953883495145631,0.004540923635472146,0.0028939752696658773,0.04274173287271686,0.04681746449237244,0.0011748458379775251,0.00031055900621118014,0.0005658109231531411,0.00029515938606847696,0.44592704693977575,0.4521588946459413,0.2130616350723514,0.21473029045643152,0.13198566831390923,0.12256706996317727,0.20902564967396364,0.20172711571675303,0.22045689926146717,0.21062160531080265,1.8844126388671867,1.8090238365493758,1.869418394581617,1.6448497854077253
7,12,Cluster_7,76.31430072350999,69.92742345187516,1715.199413562732,1802.1744310039335,0.15568464221558728,0.14889253640461894,0.09203292155842384,0.09568806500395455,0.027964868316634986,0.027099861900848163,0.050865197563012055,0.0445670978669583,0.004031388908332107,0.0027381353918982413,0.16529888250579497,0.17263323085351456,0.5039165466744403,0.4592612537541332,0.0002055522577744821,0.0,0.1854645441550388,0.17518630811510794,0.12792709739804833,0.13073140941333014,0.20230760178475868,0.20705978573687361,0.48430075666215416,0.4601311339021985,0.26480879521248724,0.27638020898503707,1.1357076884344157,1.169682931456652,0.8281007097264498,0.7211480882950774
8,4,Cluster_8,32.859591759806484,36.48659650713732,589.2047552936067,569.7927338863608,0.5104527059294512,0.5000772883942431,0.17311242910241165,0.15283285146922196,0.06390497049954041,0.05457136185439524,0.07292529062069136,0.07980927319997969,0.056842344455939595,0.04443507117110006,0.12027310628813914,0.11613896782171705,0.0015215292222737994,0.0012204902640227137,0.0009676238815528145,0.0009913426929869665,0.38375293975942276,0.3646237184297928,0.16817815615067616,0.1701319983591838,0.15052124980226902,0.14970245422734008,0.29754765428763197,0.2936382751095805,0.2254439077000632,0.22410817841771008,1.7397059295282409,1.5900431872280123,1.0863685617488705,1.0631852243662143
